job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,salary_min,salary_max,average_salary,posted_year,posted_month,posted_quarter,posted_day_of_week,city,country_code,skill_count,tool_count,has_python,has_sql,has_r,has_excel,has_pandas,has_numpy,has_scikit_learn,has_tensorflow,has_pytorch,has_keras,has_huggingface,has_langchain,has_fastapi,has_flask,has_powerbi,has_mlflow,has_cuda,has_aws,has_azure,has_gcp,has_bigquery,has_kdb,has_reinforcement_learning,has_cloud,has_deep_learning,has_nlp_related,experience_level_num,company_size_num,salary_level
191,"Wu, Browning and Ramos",Tech,Data Analyst,"NumPy, R, Power BI, CUDA",Mid,Internship,"North Louis, UY",79611-163781,2024-10-28,Mid,"MLflow, LangChain, FastAPI",79611,163781,121696.0,2024,10,4,Monday,North Louis,UY,4,3,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,2,High
192,Jones-Curtis,Education,AI Researcher,"Pandas, CUDA, PyTorch",Senior,Full-time,"North Nataliemouth, SR",142867-168105,2024-01-25,Mid,"FastAPI, BigQuery",142867,168105,155486.0,2024,1,1,Thursday,North Nataliemouth,SR,3,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,2,High
193,Lewis-Brooks,Retail,ML Engineer,"Azure, Python, Hugging Face, SQL",Mid,Contract,"Owenshaven, LY",63520-101934,2024-02-11,Mid,"MLflow, KDB+",63520,101934,82727.0,2024,2,1,Sunday,Owenshaven,LY,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,2,2,Medium
194,"Hobbs, Lawson and Robertson",Retail,Data Scientist,"MLflow, PyTorch, Scikit-learn",Senior,Internship,"Port Ricardo, SR",116202-179210,2024-05-19,Large,"LangChain, KDB+",116202,179210,147706.0,2024,5,2,Sunday,Port Ricardo,SR,3,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,3,High
195,"Gonzales, Lane and Hart",Healthcare,Quant Researcher,"Pandas, Reinforcement Learning, FastAPI",Mid,Internship,"Kaylaland, DE",137620-173474,2023-11-04,Mid,Scikit-learn,137620,173474,155547.0,2023,11,4,Saturday,Kaylaland,DE,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,High
196,Kim PLC,Retail,NLP Engineer,"TensorFlow, SQL, NumPy",Entry,Internship,"North Jamietown, KE",131485-218283,2024-12-08,Mid,"BigQuery, FastAPI",131485,218283,174884.0,2024,12,4,Sunday,North Jamietown,KE,3,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,Very High
197,"Vasquez, Fleming and Jones",Tech,AI Product Manager,"Flask, C++, TensorFlow, Reinforcement Learning, R",Entry,Internship,"East Melindastad, TO",117341-158797,2024-08-27,Startup,"Scikit-learn, TensorFlow, FastAPI",117341,158797,138069.0,2024,8,3,Tuesday,East Melindastad,TO,5,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,High
198,Rice Inc,Automotive,Data Analyst,"LangChain, Python, SQL",Entry,Internship,"East Linda, KP",123706-167631,2024-08-15,Mid,BigQuery,123706,167631,145668.5,2024,8,3,Thursday,East Linda,KP,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,High
199,"Morris, Jensen and Hamilton",Tech,Quant Researcher,"Azure, Scikit-learn, Keras, R, Hugging Face",Mid,Contract,"Port Mckenzie, BO",43828-96329,2024-04-01,Mid,"BigQuery, KDB+",43828,96329,70078.5,2024,4,2,Monday,Port Mckenzie,BO,5,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,2,2,Low
200,Gonzalez and Sons,Education,AI Product Manager,"NumPy, AWS, LangChain",Entry,Full-time,"New Traceyborough, BG",130984-170051,2025-06-17,Startup,PyTorch,130984,170051,150517.5,2025,6,2,Tuesday,New Traceyborough,BG,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,High
201,Robinson-Hall,E-commerce,Data Scientist,"C++, Scikit-learn, CUDA, LangChain",Entry,Internship,"Flowersberg, MG",125831-194965,2024-12-31,Large,"BigQuery, PyTorch",125831,194965,160398.0,2024,12,4,Tuesday,Flowersberg,MG,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,3,Very High
202,Mendoza Ltd,Finance,AI Product Manager,"NumPy, Excel, Azure, AWS",Entry,Contract,"Chandlerville, RS",96628-121086,2024-11-07,Mid,"PyTorch, TensorFlow, FastAPI",96628,121086,108857.0,2024,11,4,Thursday,Chandlerville,RS,4,3,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,2,Medium
203,Richards-Barnes,Finance,NLP Engineer,"Power BI, GCP, FastAPI, C++, Pandas, SQL",Entry,Remote,"Williamton, TM",85788-132802,2024-02-16,Large,"LangChain, KDB+, FastAPI",85788,132802,109295.0,2024,2,1,Friday,Williamton,TM,6,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,3,Medium
204,Bailey-Harris,Automotive,Quant Researcher,"MLflow, Flask, Azure, CUDA, FastAPI",Mid,Internship,"Lake Sarah, SY",147975-247578,2025-05-12,Startup,TensorFlow,147975,247578,197776.5,2025,5,2,Monday,Lake Sarah,SY,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,2,1,Very High
205,Soto and Sons,Automotive,Data Analyst,"Pandas, AWS, R, TensorFlow, FastAPI, MLflow",Entry,Contract,"East Johnton, HR",48226-90071,2024-12-24,Mid,BigQuery,48226,90071,69148.5,2024,12,4,Tuesday,East Johnton,HR,6,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,2,Low
206,Williams Ltd,Healthcare,Data Scientist,"Python, Power BI, PyTorch",Senior,Full-time,"Samuelhaven, BO",62447-129068,2025-01-22,Startup,MLflow,62447,129068,95757.5,2025,1,1,Wednesday,Samuelhaven,BO,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,Medium
207,Lane-Weaver,Retail,Computer Vision Engineer,"TensorFlow, Python, AWS, Reinforcement Learning, NumPy, CUDA",Senior,Internship,"Garciamouth, KI",110876-127413,2024-05-18,Large,TensorFlow,110876,127413,119144.5,2024,5,2,Saturday,Garciamouth,KI,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,3,3,Medium
208,Hernandez PLC,Education,AI Product Manager,"SQL, MLflow, R",Senior,Remote,"Lake Charlesmouth, CL",85915-109356,2023-10-13,Startup,Scikit-learn,85915,109356,97635.5,2023,10,4,Friday,Lake Charlesmouth,CL,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,Medium
209,Ortiz-Mcfarland,Finance,AI Product Manager,"NumPy, Reinforcement Learning, Azure, C++, R",Entry,Full-time,"Reyesview, NR",143326-161834,2024-01-09,Large,"Scikit-learn, BigQuery, FastAPI",143326,161834,152580.0,2024,1,1,Tuesday,Reyesview,NR,5,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,High
210,Rice-Hendricks,Healthcare,Data Scientist,"Power BI, Azure, SQL, C++, Hugging Face",Senior,Full-time,"East William, NZ",89991-179017,2024-01-01,Mid,"KDB+, FastAPI, PyTorch",89991,179017,134504.0,2024,1,1,Monday,East William,NZ,5,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,3,2,High
211,"Brown, Jackson and Carr",E-commerce,Computer Vision Engineer,"Python, Pandas, AWS, TensorFlow, SQL",Senior,Remote,"Greeneton, LU",67897-156557,2023-11-08,Mid,"KDB+, FastAPI",67897,156557,112227.0,2023,11,4,Wednesday,Greeneton,LU,5,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,3,2,Medium
212,"Kelley, Steele and Bell",Finance,AI Product Manager,"LangChain, Flask, PyTorch, Python",Entry,Remote,"South Anthonyfurt, BO",44318-101581,2024-01-16,Mid,FastAPI,44318,101581,72949.5,2024,1,1,Tuesday,South Anthonyfurt,BO,4,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,Low
213,Cline PLC,Tech,Data Analyst,"Keras, Azure, Excel, TensorFlow",Mid,Internship,"Hannahside, KI",67657-112933,2024-12-31,Mid,"Scikit-learn, MLflow",67657,112933,90295.0,2024,12,4,Tuesday,Hannahside,KI,4,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,2,Medium
214,Shah-White,Finance,Quant Researcher,"Keras, CUDA, PyTorch, Power BI",Entry,Contract,"Lake Erikburgh, ZM",97752-152521,2025-01-29,Large,BigQuery,97752,152521,125136.5,2025,1,1,Wednesday,Lake Erikburgh,ZM,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,3,High
215,Davis-Butler,Automotive,Data Scientist,"Scikit-learn, Power BI, PyTorch, SQL, Excel, AWS",Entry,Internship,"South Zacharyburgh, ES",93403-169785,2024-01-13,Mid,LangChain,93403,169785,131594.0,2024,1,1,Saturday,South Zacharyburgh,ES,6,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,High
216,"Newton, Kelly and Martinez",Automotive,NLP Engineer,"Azure, NumPy, LangChain, FastAPI, Hugging Face, Keras",Senior,Remote,"Lake Johnchester, CG",143054-182950,2024-01-08,Mid,"FastAPI, PyTorch, TensorFlow",143054,182950,163002.0,2024,1,1,Monday,Lake Johnchester,CG,6,3,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,2,Very High
217,Berry-Lewis,E-commerce,Computer Vision Engineer,"AWS, Python, Flask, Pandas, Azure, LangChain",Entry,Internship,"Melissaton, LA",123977-182190,2023-10-24,Startup,Scikit-learn,123977,182190,153083.5,2023,10,4,Tuesday,Melissaton,LA,6,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,High
218,"Brandt, Fuller and Cruz",Finance,AI Researcher,"Hugging Face, R, C++",Mid,Remote,"New Sydneyton, PH",108708-183957,2024-07-09,Large,"TensorFlow, LangChain, FastAPI",108708,183957,146332.5,2024,7,3,Tuesday,New Sydneyton,PH,3,3,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,High
219,Turner PLC,Tech,Quant Researcher,"Python, NumPy, Excel, Azure, Scikit-learn",Entry,Contract,"Jasonfurt, BW",42431-121809,2024-09-09,Mid,"BigQuery, PyTorch",42431,121809,82120.0,2024,9,3,Monday,Jasonfurt,BW,5,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,2,Medium
220,Sanchez Ltd,Automotive,AI Researcher,"Power BI, GCP, MLflow, CUDA, Flask",Entry,Full-time,"Barnetthaven, IN",129721-169068,2025-03-16,Startup,"KDB+, PyTorch",129721,169068,149394.5,2025,3,1,Sunday,Barnetthaven,IN,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,High
221,Crawford Group,Automotive,ML Engineer,"PyTorch, Reinforcement Learning, Azure, Python, AWS, Hugging Face",Mid,Contract,"Abbottmouth, IN",51999-114433,2024-11-06,Mid,"FastAPI, LangChain, TensorFlow",51999,114433,83216.0,2024,11,4,Wednesday,Abbottmouth,IN,6,3,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,2,2,Medium
222,"Humphrey, Barrett and Colon",E-commerce,Data Scientist,"Pandas, MLflow, Azure, Reinforcement Learning, FastAPI, R",Senior,Full-time,"Davidmouth, IE",133703-230141,2024-06-20,Large,"MLflow, PyTorch, TensorFlow",133703,230141,181922.0,2024,6,2,Thursday,Davidmouth,IE,6,3,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,3,3,Very High
223,Obrien PLC,Education,Quant Researcher,"Pandas, AWS, R, PyTorch, Power BI, NumPy",Senior,Remote,"Mariochester, BY",75109-126693,2025-06-17,Large,MLflow,75109,126693,100901.0,2025,6,2,Tuesday,Mariochester,BY,6,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,3,3,Medium
224,"Stanton, Martin and Martin",Automotive,Data Analyst,"C++, NumPy, Power BI, MLflow, CUDA",Senior,Contract,"West Sally, GR",102227-124205,2024-06-06,Large,"BigQuery, TensorFlow",102227,124205,113216.0,2024,6,2,Thursday,West Sally,GR,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,3,3,Medium
225,"James, Payne and Roth",Education,AI Researcher,"Power BI, Azure, R",Mid,Remote,"West Ernest, BY",77125-136585,2024-09-08,Mid,"LangChain, Scikit-learn, FastAPI",77125,136585,106855.0,2024,9,3,Sunday,West Ernest,BY,3,3,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,2,Medium
226,"Bowen, Flores and Williams",Finance,Computer Vision Engineer,"NumPy, C++, AWS, SQL, MLflow",Senior,Internship,"Alanside, SK",114539-151150,2024-10-02,Mid,"PyTorch, Scikit-learn",114539,151150,132844.5,2024,10,4,Wednesday,Alanside,SK,5,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,2,High
227,Flynn LLC,Retail,Quant Researcher,"Azure, C++, Reinforcement Learning",Entry,Contract,"Carrollview, HN",42773-105072,2023-10-01,Mid,"BigQuery, Scikit-learn, LangChain",42773,105072,73922.5,2023,10,4,Sunday,Carrollview,HN,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,2,Low
228,"Campos, Floyd and Clark",Finance,AI Researcher,"Power BI, Hugging Face, Keras, Reinforcement Learning, TensorFlow, Excel",Entry,Contract,"Changside, DJ",122640-208762,2024-05-13,Mid,LangChain,122640,208762,165701.0,2024,5,2,Monday,Changside,DJ,6,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2,Very High
229,"Henderson, Lynch and Lindsey",Education,AI Product Manager,"MLflow, LangChain, Hugging Face, Azure, Flask",Mid,Full-time,"Thomasland, NI",90611-152714,2024-04-23,Mid,TensorFlow,90611,152714,121662.5,2024,4,2,Tuesday,Thomasland,NI,5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,2,2,High
230,Mitchell-Peters,Tech,AI Product Manager,"SQL, Keras, Scikit-learn, NumPy",Senior,Internship,"Melissaview, GN",61529-88876,2023-12-16,Mid,"KDB+, FastAPI",61529,88876,75202.5,2023,12,4,Saturday,Melissaview,GN,4,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,Low
231,Mcfarland Inc,Tech,AI Product Manager,"NumPy, Pandas, Hugging Face",Mid,Contract,"Gatesburgh, ZM",62907-140660,2025-04-19,Mid,"TensorFlow, MLflow, LangChain",62907,140660,101783.5,2025,4,2,Saturday,Gatesburgh,ZM,3,3,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,Medium
232,Jones and Sons,Finance,AI Product Manager,"Scikit-learn, Keras, C++",Mid,Internship,"Lake Jose, ML",87618-184731,2024-05-01,Mid,"BigQuery, MLflow, KDB+",87618,184731,136174.5,2024,5,2,Wednesday,Lake Jose,ML,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,2,High
233,"Nash, Anderson and Brown",Retail,Computer Vision Engineer,"MLflow, GCP, TensorFlow, AWS",Senior,Full-time,"New Jeffrey, SV",129185-169420,2025-04-11,Startup,"TensorFlow, LangChain, BigQuery",129185,169420,149302.5,2025,4,2,Friday,New Jeffrey,SV,4,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,3,1,High
234,"Whitehead, Summers and Nelson",Education,Data Analyst,"Flask, Excel, Keras, PyTorch, Python",Entry,Internship,"East Bryce, IS",127161-187759,2024-12-21,Startup,Scikit-learn,127161,187759,157460.0,2024,12,4,Saturday,East Bryce,IS,5,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,High
235,Gonzalez-Thompson,Education,NLP Engineer,"SQL, Python, MLflow",Senior,Remote,"Graceville, TO",91557-109518,2023-12-10,Mid,MLflow,91557,109518,100537.5,2023,12,4,Sunday,Graceville,TO,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,Medium
236,"Simon, Price and Dickson",Tech,AI Product Manager,"PyTorch, Excel, Reinforcement Learning, Scikit-learn, Azure",Entry,Remote,"Williamsside, NE",85776-173610,2024-09-11,Mid,"BigQuery, KDB+",85776,173610,129693.0,2024,9,3,Wednesday,Williamsside,NE,5,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,2,High
237,Strickland-Stevenson,Automotive,AI Researcher,"Excel, Hugging Face, PyTorch, R, SQL, Flask",Senior,Internship,"East Mary, LI",95255-160292,2024-09-09,Mid,"TensorFlow, PyTorch, LangChain",95255,160292,127773.5,2024,9,3,Monday,East Mary,LI,6,3,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,High
238,Kramer Inc,Automotive,AI Researcher,"Scikit-learn, Hugging Face, Pandas, Keras, TensorFlow",Senior,Remote,"Garzaside, NA",70536-137707,2024-08-24,Mid,"TensorFlow, Scikit-learn",70536,137707,104121.5,2024,8,3,Saturday,Garzaside,NA,5,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,Medium
239,Mahoney-Collins,Finance,AI Product Manager,"FastAPI, MLflow, LangChain, Hugging Face, Power BI",Entry,Remote,"Marktown, AO",56526-149136,2023-10-29,Startup,"TensorFlow, KDB+, BigQuery",56526,149136,102831.0,2023,10,4,Sunday,Marktown,AO,5,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,Medium
240,Ortiz PLC,Finance,Quant Researcher,"Pandas, Keras, Python, NumPy, GCP",Senior,Remote,"South Staceyport, IN",40077-124906,2023-09-26,Large,"PyTorch, MLflow",40077,124906,82491.5,2023,9,3,Tuesday,South Staceyport,IN,5,2,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,3,Medium
241,"Donaldson, Cox and Lopez",Finance,Data Analyst,"Power BI, Azure, SQL, Flask, NumPy, CUDA",Entry,Remote,"Port Marcusville, US",136304-175873,2025-08-19,Large,"BigQuery, Scikit-learn",136304,175873,156088.5,2025,8,3,Tuesday,Port Marcusville,US,6,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,3,High
242,"Clark, Baker and Parks",Automotive,Computer Vision Engineer,"Keras, SQL, FastAPI, GCP, Flask",Mid,Full-time,"Singhfort, PA",45264-63508,2025-08-17,Mid,"LangChain, BigQuery",45264,63508,54386.0,2025,8,3,Sunday,Singhfort,PA,5,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,2,2,Low
243,Anderson-Gonzalez,E-commerce,Computer Vision Engineer,"Excel, Keras, Pandas, CUDA, SQL, Hugging Face",Senior,Internship,"Samuelton, DK",70448-88238,2024-05-05,Startup,"MLflow, KDB+, BigQuery",70448,88238,79343.0,2024,5,2,Sunday,Samuelton,DK,6,3,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,3,1,Low
244,Walker-Becker,Retail,Data Analyst,"CUDA, PyTorch, Excel",Senior,Internship,"Port Andrewside, MT",132241-182322,2024-08-29,Mid,LangChain,132241,182322,157281.5,2024,8,3,Thursday,Port Andrewside,MT,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,2,High
245,Hall Group,Finance,Data Scientist,"Flask, Scikit-learn, FastAPI, Power BI",Senior,Contract,"New Manuelbury, LS",97077-144023,2023-12-13,Mid,"PyTorch, BigQuery",97077,144023,120550.0,2023,12,4,Wednesday,New Manuelbury,LS,4,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,3,2,High
246,Blake-Daugherty,E-commerce,Data Scientist,"Flask, C++, CUDA, R",Senior,Internship,"Lake Adamfurt, BR",93070-155510,2024-04-10,Startup,"LangChain, Scikit-learn",93070,155510,124290.0,2024,4,2,Wednesday,Lake Adamfurt,BR,4,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,High
247,Powers Group,Education,Quant Researcher,"R, Pandas, TensorFlow",Senior,Internship,"Grahamshire, PH",110751-196979,2024-10-18,Mid,"TensorFlow, LangChain",110751,196979,153865.0,2024,10,4,Friday,Grahamshire,PH,3,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,High
248,Bernard-Herrera,Education,Data Scientist,"MLflow, Hugging Face, FastAPI, Azure",Entry,Internship,"Port Denise, MV",57928-153531,2025-05-29,Mid,"Scikit-learn, KDB+",57928,153531,105729.5,2025,5,2,Thursday,Port Denise,MV,4,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,2,Medium
249,Thomas Group,Education,AI Product Manager,"NumPy, MLflow, PyTorch, Pandas, FastAPI",Entry,Internship,"New Melissa, KM",139669-235176,2024-09-13,Startup,BigQuery,139669,235176,187422.5,2024,9,3,Friday,New Melissa,KM,5,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,Very High
250,Phelps-Johnson,Education,Data Scientist,"FastAPI, TensorFlow, Keras, Excel, Pandas",Mid,Full-time,"Lake Kristen, SY",76192-110813,2024-12-25,Mid,BigQuery,76192,110813,93502.5,2024,12,4,Wednesday,Lake Kristen,SY,5,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,Medium
251,Young-Brown,Healthcare,AI Researcher,"Power BI, C++, Flask, Keras, Reinforcement Learning, SQL",Mid,Remote,"North Samuel, UY",86522-144139,2024-09-04,Large,TensorFlow,86522,144139,115330.5,2024,9,3,Wednesday,North Samuel,UY,6,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,3,Medium
252,"Alvarez, Martinez and Miller",Finance,NLP Engineer,"FastAPI, MLflow, Pandas, R, TensorFlow",Mid,Full-time,"Kimberlyfort, MN",40634-94055,2024-07-31,Mid,"LangChain, BigQuery",40634,94055,67344.5,2024,7,3,Wednesday,Kimberlyfort,MN,5,2,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,2,Low
253,Phillips-Baker,Education,Computer Vision Engineer,"R, Keras, PyTorch",Entry,Remote,"West James, SG",50432-62117,2025-05-15,Startup,KDB+,50432,62117,56274.5,2025,5,2,Thursday,West James,SG,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,Low
254,Cochran-Bailey,Retail,Data Scientist,"Pandas, GCP, C++, Reinforcement Learning",Senior,Internship,"West Andrew, NA",92187-143257,2024-05-28,Startup,MLflow,92187,143257,117722.0,2024,5,2,Tuesday,West Andrew,NA,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,1,Medium
255,Vazquez LLC,Education,AI Product Manager,"Azure, LangChain, Reinforcement Learning",Mid,Full-time,"East Bruce, AM",139231-220256,2025-03-21,Startup,"PyTorch, FastAPI",139231,220256,179743.5,2025,3,1,Friday,East Bruce,AM,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,2,1,Very High
256,Carey and Sons,Education,AI Product Manager,"Keras, Excel, SQL, Python, Scikit-learn",Entry,Remote,"Robertfort, LK",116281-126487,2024-06-19,Mid,"FastAPI, Scikit-learn, MLflow",116281,126487,121384.0,2024,6,2,Wednesday,Robertfort,LK,5,3,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,High
257,"Marshall, Mccoy and Montgomery",Healthcare,AI Product Manager,"Power BI, C++, NumPy",Senior,Internship,"Greggbury, KI",66964-130664,2024-10-15,Large,"PyTorch, BigQuery",66964,130664,98814.0,2024,10,4,Tuesday,Greggbury,KI,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,3,Medium
258,Hart-Peterson,Automotive,ML Engineer,"Excel, FastAPI, Hugging Face, C++, GCP, R",Senior,Remote,"South Christopher, CN",72900-93392,2023-10-21,Mid,"Scikit-learn, TensorFlow",72900,93392,83146.0,2023,10,4,Saturday,South Christopher,CN,6,2,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,3,2,Medium
259,Clark-Sharp,Retail,AI Researcher,"Reinforcement Learning, MLflow, Hugging Face, CUDA, Flask",Senior,Full-time,"Lake Mark, BN",122910-218807,2024-04-09,Startup,"MLflow, BigQuery, LangChain",122910,218807,170858.5,2024,4,2,Tuesday,Lake Mark,BN,5,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,3,1,Very High
260,"Daniels, Martinez and Brown",E-commerce,NLP Engineer,"AWS, Power BI, GCP, NumPy, Flask",Senior,Remote,"Mariestad, SG",60661-137033,2025-08-14,Mid,"LangChain, FastAPI",60661,137033,98847.0,2025,8,3,Thursday,Mariestad,SG,5,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,3,2,Medium
261,Lawson-Mitchell,Finance,Data Analyst,"Azure, Flask, CUDA, TensorFlow",Entry,Full-time,"Jacobchester, PL",51191-106210,2024-09-02,Large,"Scikit-learn, LangChain",51191,106210,78700.5,2024,9,3,Monday,Jacobchester,PL,4,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,3,Low
